,st_time,t10s,t20m
251,2016-01-01 04:12:18,2,2
252,2016-01-01 04:13:18,2,2
253,2016-01-01 04:14:18,2,2
254,2016-01-01 04:15:18,1,2
255,2016-01-01 04:16:18,2,2
256,2016-01-01 04:17:18,2,2
257,2016-01-01 04:18:18,2,2
258,2016-01-01 04:19:18,2,2
259,2016-01-01 04:20:18,1,2
260,2016-01-01 04:21:18,1,2
261,2016-01-01 04:22:18,2,2
262,2016-01-01 04:23:18,1,2
263,2016-01-01 04:24:18,3,2
264,2016-01-01 04:25:18,2,2
265,2016-01-01 04:26:18,1,2
266,2016-01-01 04:27:18,1,2
267,2016-01-01 04:28:18,1,2
268,2016-01-01 04:29:18,2,2
269,2016-01-01 04:30:18,2,2
270,2016-01-01 04:31:18,2,2
271,2016-01-01 04:32:17,2,2
272,2016-01-01 04:33:17,2,2
273,2016-01-01 04:34:17,2,2
274,2016-01-01 04:35:16,2,2
275,2016-01-01 04:36:16,2,2
276,2016-01-01 04:37:16,2,2
277,2016-01-01 04:38:16,2,2
278,2016-01-01 04:39:16,1,2
279,2016-01-01 04:40:16,2,2
280,2016-01-01 04:41:16,1,2
281,2016-01-01 04:42:16,2,2
282,2016-01-01 04:43:16,2,2
283,2016-01-01 04:44:17,2,2
284,2016-01-01 04:45:17,2,2
285,2016-01-01 04:46:17,1,2
286,2016-01-01 04:47:17,2,2
287,2016-01-01 04:48:17,2,2
288,2016-01-01 04:49:17,2,2
289,2016-01-01 04:50:17,1,2
290,2016-01-01 04:51:17,2,2
291,2016-01-01 04:52:17,1,2
292,2016-01-01 04:53:17,2,2
293,2016-01-01 04:54:17,2,2
294,2016-01-01 04:55:17,2,2
295,2016-01-01 04:56:17,5,2
296,2016-01-01 04:57:17,1,2
297,2016-01-01 04:58:17,2,2
298,2016-01-01 04:59:17,1,2
299,2016-01-01 05:00:17,4,2
300,2016-01-01 05:01:17,7,2
301,2016-01-01 05:02:17,6,2
302,2016-01-01 05:03:20,1,2
303,2016-01-01 05:04:20,2,2
304,2016-01-01 05:05:20,3,2
305,2016-01-01 05:06:20,2,2
306,2016-01-01 05:07:20,2,2
307,2016-01-01 05:08:20,2,2
308,2016-01-01 05:09:19,1,2
309,2016-01-01 05:10:19,2,2
310,2016-01-01 05:11:19,2,2
311,2016-01-01 05:12:19,2,2
312,2016-01-01 05:13:19,2,2
313,2016-01-01 05:14:19,1,2
314,2016-01-01 05:15:19,2,2
315,2016-01-01 05:16:19,2,2
316,2016-01-01 05:17:19,2,2
317,2016-01-01 05:18:19,2,2
318,2016-01-01 05:19:19,2,2
319,2016-01-01 05:20:19,2,2
320,2016-01-01 05:21:19,2,2
321,2016-01-01 05:22:19,3,2
322,2016-01-01 05:23:19,1,2
323,2016-01-01 05:24:19,1,2
324,2016-01-01 05:25:19,2,2
325,2016-01-01 05:26:19,2,2
326,2016-01-01 05:27:19,2,2
327,2016-01-01 05:28:19,1,2
328,2016-01-01 05:29:19,1,2
329,2016-01-01 05:30:19,2,2
330,2016-01-01 05:31:19,2,2
331,2016-01-01 05:32:19,2,2
332,2016-01-01 05:33:19,1,2
333,2016-01-01 05:34:19,2,2
334,2016-01-01 05:35:19,2,2
335,2016-01-01 05:36:19,1,2
336,2016-01-01 05:37:19,2,2
337,2016-01-01 05:38:19,1,2
338,2016-01-01 05:39:19,3,2
339,2016-01-01 05:40:19,1,2
340,2016-01-01 05:41:19,2,2
341,2016-01-01 05:42:19,2,2
342,2016-01-01 05:43:19,2,2
343,2016-01-01 05:44:19,2,2
344,2016-01-01 05:45:19,2,2
345,2016-01-01 05:46:19,2,2
346,2016-01-01 05:47:19,2,2
347,2016-01-01 05:48:19,2,2
348,2016-01-01 05:49:19,2,2
349,2016-01-01 05:50:19,1,2
350,2016-01-01 05:51:19,2,2
351,2016-01-01 05:52:19,2,2
352,2016-01-01 05:53:19,2,2
353,2016-01-01 05:54:19,2,2
354,2016-01-01 05:55:19,2,2
355,2016-01-01 05:56:19,2,2
356,2016-01-01 05:57:19,2,2
357,2016-01-01 05:58:19,1,2
358,2016-01-01 05:59:19,2,2
359,2016-01-01 06:00:19,1,2
360,2016-01-01 06:01:19,1,2
361,2016-01-01 06:02:19,2,2
362,2016-01-01 06:03:19,1,2
363,2016-01-01 06:04:19,2,2
364,2016-01-01 06:05:19,1,2
365,2016-01-01 06:06:19,1,2
366,2016-01-01 06:07:19,2,2
367,2016-01-01 06:08:19,2,2
368,2016-01-01 06:09:19,2,2
369,2016-01-01 06:10:19,2,2
370,2016-01-01 06:11:19,5,2
371,2016-01-01 06:12:19,2,2
372,2016-01-01 06:13:19,2,2
373,2016-01-01 06:14:19,2,2
374,2016-01-01 06:15:19,1,2
375,2016-01-01 06:16:19,2,2
376,2016-01-01 06:17:19,3,2
377,2016-01-01 06:18:19,2,2
378,2016-01-01 06:19:19,2,2
379,2016-01-01 06:20:19,1,2
380,2016-01-01 06:21:19,2,2
381,2016-01-01 06:22:19,2,2
382,2016-01-01 06:23:19,2,2
383,2016-01-01 06:24:19,1,2
384,2016-01-01 06:25:19,2,2
385,2016-01-01 06:26:19,2,2
386,2016-01-01 06:27:19,2,2
387,2016-01-01 06:28:19,2,2
388,2016-01-01 06:29:19,2,2
389,2016-01-01 06:30:19,2,2
390,2016-01-01 06:31:19,1,2
391,2016-01-01 06:32:19,2,2
392,2016-01-01 06:33:19,2,2
393,2016-01-01 06:34:19,2,2
394,2016-01-01 06:35:19,1,2
395,2016-01-01 06:36:19,2,2
396,2016-01-01 06:37:19,1,2
397,2016-01-01 06:38:19,2,2
398,2016-01-01 06:39:19,2,2
399,2016-01-01 06:40:19,2,2
400,2016-01-01 06:41:19,1,2
401,2016-01-01 06:42:19,2,2
402,2016-01-01 06:43:19,2,2
403,2016-01-01 06:44:19,1,2
404,2016-01-01 06:45:19,2,2
405,2016-01-01 06:46:19,2,2
406,2016-01-01 06:47:19,2,2
407,2016-01-01 06:48:19,2,2
408,2016-01-01 06:49:19,2,2
409,2016-01-01 06:50:19,2,2
410,2016-01-01 06:51:19,2,2
411,2016-01-01 06:52:19,2,2
412,2016-01-01 06:53:19,2,2
413,2016-01-01 06:54:19,4,2
414,2016-01-01 06:55:19,2,2
415,2016-01-01 06:56:19,2,2
416,2016-01-01 06:57:19,2,2
417,2016-01-01 06:58:19,2,2
418,2016-01-01 06:59:19,2,2
419,2016-01-01 07:00:19,2,2
420,2016-01-01 07:01:19,2,2
421,2016-01-01 07:02:19,2,2
422,2016-01-01 07:03:19,2,2
423,2016-01-01 07:04:19,2,2
424,2016-01-01 07:05:19,1,2
425,2016-01-01 07:06:19,2,2
426,2016-01-01 07:07:19,1,2
427,2016-01-01 07:08:19,2,2
428,2016-01-01 07:09:19,2,2
429,2016-01-01 07:10:19,2,2
430,2016-01-01 07:11:19,2,2
431,2016-01-01 07:12:19,2,2
432,2016-01-01 07:13:20,1,2
433,2016-01-01 07:14:20,2,2
434,2016-01-01 07:15:20,2,2
435,2016-01-01 07:16:19,2,2
436,2016-01-01 07:17:19,2,2
437,2016-01-01 07:18:19,2,2
438,2016-01-01 07:19:18,2,2
439,2016-01-01 07:20:18,2,2
440,2016-01-01 07:21:18,2,2
441,2016-01-01 07:22:18,2,2
442,2016-01-01 07:23:18,1,2
443,2016-01-01 07:24:18,2,2
444,2016-01-01 07:25:18,2,2
445,2016-01-01 07:26:18,5,2
446,2016-01-01 07:27:18,2,2
447,2016-01-01 07:28:18,2,2
448,2016-01-01 07:29:18,1,2
449,2016-01-01 07:30:18,2,2
450,2016-01-01 07:31:18,2,2
451,2016-01-01 07:32:18,2,2
452,2016-01-01 07:33:18,2,2
453,2016-01-01 07:34:18,2,2
454,2016-01-01 07:35:18,2,2
455,2016-01-01 07:36:18,2,2
456,2016-01-01 07:37:18,2,2
457,2016-01-01 07:38:18,2,2
458,2016-01-01 07:39:18,2,2
459,2016-01-01 07:40:18,2,2
460,2016-01-01 07:41:18,2,2
461,2016-01-01 07:42:18,1,2
462,2016-01-01 07:43:18,2,2
463,2016-01-01 07:44:18,2,2
